request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,6940b43a0b7cac709ace,1,297,2,0,0,True
1,5a44fd5ac15e97f71b86,1,298,2,0,0,True
2,dde9c9d41b8d821589d1,1,289,2,0,0,True
3,45c6019423f5061eff48,1,314,2,0,0,True
4,7ce3588057e03f8cf84c,1,304,2,0,0,True
5,c1ea8271b1162f38b2ea,1,296,2,0,0,True
6,917b2ea0483e7a35ce93,1,312,2,0,0,True
7,58852938b7be4089c8b2,1,323,2,0,0,True
8,c68be4e2e84409fc6f5e,1,297,2,0,0,True
9,13bc56525292be58356c,1,295,2,0,0,True
10,33ee2296db9f23631ff3,1,306,2,0,0,True
11,bb4686e90284ded3aad0,1,310,2,0,0,True
12,8d17c829bca260d29f39,1,301,2,0,0,True
13,886b7220e2bbab112387,1,327,2,0,0,True
14,f341351595d5cf7c697e,1,302,2,0,0,True
15,2408153fb5940aa1feb8,1,291,2,0,0,True
16,4b9f72cffe09db36fd5f,1,296,2,0,0,True
17,9381c60b4194a5be0c99,1,302,2,0,0,True
18,2c54983183b32908acfe,1,306,2,0,0,True
19,4aeb57c645ea3ad595f9,1,295,2,0,0,True
20,9e61485654d3a5592286,1,308,2,0,0,True
21,13e9ca87c358f515592d,1,345,2,0,0,True
22,d85ffc0df82ac89f0e9c,1,284,2,0,0,True
23,b03b8fc7a837827f7a8e,1,296,2,0,0,True
24,847d6aaacb18080f28a1,1,297,2,0,0,True
25,4223fc60ef0893c4ac11,1,301,2,0,0,True
26,34c4f5302d0ab901b888,1,298,2,0,0,True
27,780de4aff9cdfa103f3d,1,292,2,0,0,True
28,fbec5d00e788b10a5614,1,301,2,0,0,True
29,6940b43a0b7cac709ace,2,1772,3,1,15.566041,True
30,87c2d9ff061ed56094b2,1,299,2,0,0,True
31,15f960de80f52d798688,1,313,2,0,0,True
32,84cdbb064912a934b22c,1,308,2,0,0,True
33,917b2ea0483e7a35ce93,2,1344,3,1,13.726292,True
34,10c089e0038414a7cfbc,1,302,2,0,0,True
35,d85ffc0df82ac89f0e9c,2,660,3,1,12.546083,True
36,c1ea8271b1162f38b2ea,2,1169,3,1,11.135375,True
37,f9f976163adc8977a583,1,300,2,0,0,True
38,5d8182f047e7ad79afce,1,285,2,0,0,True
39,8d49f0948f20afde6d49,1,314,2,0,0,True
40,c8c040a2b56e1262bff2,1,296,2,0,0,True
41,87c2d9ff061ed56094b2,2,921,3,1,11.712709,True
42,3c039535d492e8443e14,1,298,2,0,0,True
43,b074c112fdfea2cf2387,1,315,2,0,0,True
44,a0ddc09efe11c738f07d,1,296,2,0,0,True
45,9a2b7ecc4e76b621b62d,1,306,2,0,0,True
46,d7791d89ddd756aa957d,1,300,2,0,0,True
47,d9241bf68e3ee69f02cd,1,304,2,0,0,True
48,7e5df46ac9ca8962193a,1,299,2,0,0,True
49,aac75cd97c68bdf626dc,1,302,2,0,0,True
50,763e9668a3e955754288,1,306,2,0,0,True
51,bee6aaf5dd8f938a3278,1,291,2,0,0,True
52,d22b91a9c81f5fe0fafa,1,292,2,0,0,True
53,042900e3e00719b2b983,1,310,2,0,0,True
54,6f8bbd8b49e3a87905a7,1,305,2,0,0,True
55,0858387a84b615badb38,1,293,2,0,0,True
56,c0cb44080162eb352d93,1,294,2,0,0,True
57,042900e3e00719b2b983,2,2038,3,1,18.567042,True
58,3946cb6e6bd21c6ba170,1,300,2,0,0,True
59,c939f9cb419dc864a78f,1,289,2,0,0,True
60,d7791d89ddd756aa957d,2,1620,3,1,14.468375,True
61,15f960de80f52d798688,2,1656,3,1,0.155959,True
62,939012287a85f9cb94ac,1,294,2,0,0,True
63,676fe4695f869b48680e,1,309,2,0,0,True
64,939012287a85f9cb94ac,2,1213,3,1,12.241042,True
65,b992dc005e5a65e01262,1,290,2,0,0,True
66,f44be9d92d2b997cd5bb,1,298,2,0,0,True
67,042900e3e00719b2b983,3,3648,4,2,34.011209,True
68,5a44fd5ac15e97f71b86,2,1477,3,1,13.983917,True
69,d22b91a9c81f5fe0fafa,2,1194,3,1,15.984708,True
70,012dd63903edde348cbb,1,297,2,0,0,True
71,d0a570520771562240ca,1,311,2,0,0,True
72,147d251fbe4d3c8bce92,1,298,2,0,0,True
73,d95270e254bd3ff3e5b5,1,290,2,0,0,True
74,9c12fc351daa3ed3ad8c,1,298,2,0,0,True
75,193ecdf5ef5ca299d3f2,1,301,2,0,0,True
76,d85ffc0df82ac89f0e9c,3,2055,4,2,23.3065,True
77,c4bc44abbc0bb0990c47,1,291,2,0,0,True
78,ccc27c0629fdee81abf6,1,296,2,0,0,True
79,1578fd7703ecf72f84de,1,305,2,0,0,True
80,ec992828b9da445e821d,1,309,2,0,0,True
81,4cb0b190b931b18057ba,1,306,2,0,0,True
82,921a9ed94530436f2510,1,315,2,0,0,True
83,c68be4e2e84409fc6f5e,2,1184,3,1,12.509333,True
84,a547cbe8b7c6a53aa495,1,288,2,0,0,True
85,a547cbe8b7c6a53aa495,2,3698,3,1,11.15675,True
86,830a123b96f5af1bb901,1,294,2,0,0,True
87,ee3f4a57d8fc2782cd21,1,301,2,0,0,True
88,6f8bbd8b49e3a87905a7,2,1554,3,1,11.975416,True
89,8b4c2e6b8616b08640fa,1,298,2,0,0,True
90,fbec5d00e788b10a5614,2,1739,3,1,13.55,True
91,4b20de2eb7f611fe9cf8,1,303,2,0,0,True
92,91fb1d552a4dc309664d,1,298,2,0,0,True
