request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,9ab0ce824c217b9b41e4,1,300,2,0,0,True
1,b8b53195ce17fdb21c66,1,303,2,0,0,True
2,d7791d89ddd756aa957d,1,300,2,0,0,True
3,f9f976163adc8977a583,1,300,2,0,0,True
4,f16db081b90390c6eb9e,1,292,2,0,0,True
5,fcea4cd1cf623d29fddb,1,298,2,0,0,True
6,9635ce9c08509898cbee,1,298,2,0,0,True
7,76a5df0f559b5828fc5c,1,296,2,0,0,True
8,7e2ac51a2e487e2e42f4,1,296,2,0,0,True
9,8788c61ee591b172a655,1,288,2,0,0,True
10,bb4686e90284ded3aad0,1,310,2,0,0,True
11,ff626bf40a35a2108c20,1,301,2,0,0,True
12,ff626bf40a35a2108c20,2,4096,3,1,16.198958,True
13,5fd8cb2c9cece11b6760,1,300,2,0,0,True
14,c4bc44abbc0bb0990c47,1,291,2,0,0,True
15,5d8182f047e7ad79afce,1,285,2,0,0,True
16,7f52065ddc80b7eca2bf,1,303,2,0,0,True
17,29ff784ea5cb76e720a0,1,298,2,0,0,True
18,65fe57fbdb59f99a183c,1,298,2,0,0,True
19,24941eddd9bbaf038d5e,1,303,2,0,0,True
20,87c2d9ff061ed56094b2,1,299,2,0,0,True
21,f341351595d5cf7c697e,1,302,2,0,0,True
22,4b20de2eb7f611fe9cf8,1,303,2,0,0,True
23,8cd542410a48fed5c54a,1,310,2,0,0,True
24,eded5b13b01306b168f2,1,298,2,0,0,True
25,147d251fbe4d3c8bce92,1,298,2,0,0,True
26,dde9c9d41b8d821589d1,1,289,2,0,0,True
27,f9b3b1f8af9f260a577a,1,320,2,0,0,True
28,4223fc60ef0893c4ac11,1,301,2,0,0,True
29,c4bc44abbc0bb0990c47,2,2605,3,1,0.183292,True
30,12a61a9050c7c9a45be6,1,301,2,0,0,True
31,60782a51a544949ffcdf,1,301,2,0,0,True
32,84cdbb064912a934b22c,1,308,2,0,0,True
33,921a9ed94530436f2510,1,315,2,0,0,True
34,8bbeb8ab108e06e7fe6e,1,300,2,0,0,True
35,17de9923422eeb0ac0f3,1,292,2,0,0,True
36,548bbdae4ff3d4931a24,1,294,2,0,0,True
37,15f960de80f52d798688,1,313,2,0,0,True
38,676fe4695f869b48680e,1,309,2,0,0,True
39,fd8a3d371616de8f3565,1,309,2,0,0,True
40,17de9923422eeb0ac0f3,2,1610,3,1,13.884084,True
41,fbec5d00e788b10a5614,1,301,2,0,0,True
42,b5a7742692ea8711e9f3,1,302,2,0,0,True
43,ed3723bc92320403bb3a,1,302,2,0,0,True
44,763e9668a3e955754288,1,306,2,0,0,True
45,9d547d725a037113db69,1,303,2,0,0,True
46,c5c57541d8115d97a059,1,302,2,0,0,True
47,2c54983183b32908acfe,1,306,2,0,0,True
48,33ee2296db9f23631ff3,1,306,2,0,0,True
49,c323ee33d450722c9520,1,308,2,0,0,True
50,9e61485654d3a5592286,1,308,2,0,0,True
51,ae3c34f6cce25db8a590,1,302,2,0,0,True
52,5a500c7fac22daaea2e9,1,296,2,0,0,True
53,51180bbf5dfe89c7c3ad,1,302,2,0,0,True
54,c1ea8271b1162f38b2ea,1,296,2,0,0,True
55,8788c61ee591b172a655,2,997,3,1,12.73375,True
56,65fe57fbdb59f99a183c,2,897,3,1,0.196041,True
57,c68be4e2e84409fc6f5e,1,297,2,0,0,True
58,4f56ac0644c71cc18aa1,1,306,2,0,0,True
59,85ca7da8fc642245c64f,1,301,2,0,0,True
60,db910abb8056f80cec03,1,292,2,0,0,True
61,f9f976163adc8977a583,2,1550,3,1,14.990958,True
62,763e9668a3e955754288,2,2191,3,1,12.018916,True
63,1578fd7703ecf72f84de,1,305,2,0,0,True
64,f854499d9619caf6c6eb,1,289,2,0,0,True
65,73bd823b2f06b3ba4ccf,1,336,2,0,0,True
66,ca04d7d2418652914b6c,1,298,2,0,0,True
67,147d251fbe4d3c8bce92,2,574,3,1,0.142291,True
68,fdeb9d16d8b68253bd9a,1,299,2,0,0,True
69,d7df31ceddbd777b7d28,1,315,2,0,0,True
70,84cdbb064912a934b22c,2,1152,3,1,16.999958,True
71,588a94c4ef39e309ab60,1,295,2,0,0,True
72,76a5df0f559b5828fc5c,2,762,3,1,9.655167,True
73,5a500c7fac22daaea2e9,2,2178,3,1,12.475583,True
74,76a5df0f559b5828fc5c,3,1645,4,2,20.007417,True
75,d9241bf68e3ee69f02cd,1,304,2,0,0,True
76,13bc56525292be58356c,1,295,2,0,0,True
77,f341351595d5cf7c697e,2,1801,3,1,13.078708,True
78,9403c56ac49ef7065039,1,305,2,0,0,True
79,9c12fc351daa3ed3ad8c,1,298,2,0,0,True
80,4f56ac0644c71cc18aa1,2,817,3,1,16.03025,True
81,a0ddc09efe11c738f07d,1,296,2,0,0,True
